title,url,playbook,priority_bucket,missed_bucket,priority_score,missed_clicks_eff,quick_actions
Wedding Boutonnieres: Who Wears Them and Why They Matter,https://www.example-florist.com/blogs/news/who-wears-a-boutonniere-in-a-wedding,article_above_the_fold+ctr_fix,High,High,3538.9,3539,tighten intro; add summary bullets - improves above-the-fold engagement
"A Guide to Funeral Flowers: Types, Colors, and Symbolism Explained",https://www.example-florist.com/blogs/news/what-flowers-should-i-order-for-a-funeral,article_above_the_fold+ctr_fix,Medium,Medium,652.7,653,tighten intro; add summary bullets - improves above-the-fold engagement
Boxed Arrangements: Care Tips,https://www.example-florist.com/blogs/news/boxed-flower-arrangements-flower-care-tips,article_above_the_fold+ctr_fix,Medium,Medium,450.5,450,tighten intro; add summary bullets - improves above-the-fold engagement
